"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"2:58:20.0442245","wmiprvse.exe","9452","RegOpenKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS","Desired Access: Set Value"
"2:58:20.0442764","wmiprvse.exe","9452","RegDeleteValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2\134194570991152205","SUCCESS",""
"2:58:20.0445631","wmiprvse.exe","9452","RegCloseKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS",""
"2:58:20.0445849","wmiprvse.exe","9452","RegCloseKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS",""
"2:58:20.1128170","wmiprvse.exe","9452","RegOpenKey","HKLM","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read"
"2:58:20.1128340","wmiprvse.exe","9452","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"2:58:20.1128470","wmiprvse.exe","9452","RegOpenKey","HKLM\Software\Microsoft\WBEM\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"2:58:20.1128644","wmiprvse.exe","9452","RegCloseKey","HKLM","SUCCESS",""
"2:58:20.1128792","wmiprvse.exe","9452","RegQueryKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"2:58:20.1129130","wmiprvse.exe","9452","RegOpenKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS","Desired Access: Set Value"
"2:58:20.1129320","wmiprvse.exe","9452","RegDeleteValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2\134194570991347089","SUCCESS",""
"2:58:20.1132323","wmiprvse.exe","9452","RegCloseKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS",""
"2:58:20.1132828","wmiprvse.exe","9452","RegCloseKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS",""
"2:58:20.1242939","wmiprvse.exe","9452","RegOpenKey","HKLM","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read"
"2:58:20.1243205","wmiprvse.exe","9452","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"2:58:20.1243393","wmiprvse.exe","9452","RegOpenKey","HKLM\Software\Microsoft\WBEM\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"2:58:20.1243889","wmiprvse.exe","9452","RegCloseKey","HKLM","SUCCESS",""
"2:58:20.1244109","wmiprvse.exe","9452","RegQueryKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"2:58:20.1244307","wmiprvse.exe","9452","RegOpenKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS","Desired Access: Set Value"
"2:58:20.1244534","wmiprvse.exe","9452","RegDeleteValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2\134194570991659763","SUCCESS",""
"2:58:20.1246949","wmiprvse.exe","9452","RegCloseKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS",""
"2:58:20.1247091","wmiprvse.exe","9452","RegCloseKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS",""
"2:58:20.3184092","wmiprvse.exe","9452","RegOpenKey","HKLM","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read"
"2:58:20.3184363","wmiprvse.exe","9452","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"2:58:20.3184535","wmiprvse.exe","9452","RegOpenKey","HKLM\Software\Microsoft\WBEM\Tracing\Providers","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read/Write, Delete"
"2:58:20.3184765","wmiprvse.exe","9452","RegCloseKey","HKLM","SUCCESS",""
"2:58:20.3184927","wmiprvse.exe","9452","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\PerfLibEnabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"2:58:20.3185394","wmiprvse.exe","9452","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\PerfLibInterval_ms","SUCCESS","Type: REG_DWORD, Length: 4, Data: 100"
"2:58:20.3185605","wmiprvse.exe","9452","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\IsToCleanupTraces","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"2:58:20.3185758","wmiprvse.exe","9452","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\IsTrackingOperationOnly","NAME NOT FOUND","Length: 16"
"2:58:20.3186126","wmiprvse.exe","9452","RegCloseKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers","SUCCESS",""
"2:58:20.3186390","wmiprvse.exe","9452","RegOpenKey","HKLM","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read"
"2:58:20.3186595","wmiprvse.exe","9452","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"2:58:20.3186756","wmiprvse.exe","9452","RegOpenKey","HKLM\Software\Microsoft\WBEM\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"2:58:20.3186979","wmiprvse.exe","9452","RegCloseKey","HKLM","SUCCESS",""
"2:58:20.3187140","wmiprvse.exe","9452","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2\134194571003243019","NAME NOT FOUND","Length: 12"
"2:58:20.3187428","wmiprvse.exe","9452","RegSetValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2\134194571003243019","SUCCESS","Type: REG_SZ, Length: 78, Data: CreateInstanceEnumAsync: Win32_Process"
"2:58:20.3190167","wmiprvse.exe","9452","RegCloseKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS",""
"2:58:20.5916065","wmiprvse.exe","9452","RegOpenKey","HKLM","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read"
"2:58:20.5916396","wmiprvse.exe","9452","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"2:58:20.5916527","wmiprvse.exe","9452","RegOpenKey","HKLM\Software\Microsoft\WBEM\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"2:58:20.5916737","wmiprvse.exe","9452","RegCloseKey","HKLM","SUCCESS",""
"2:58:20.5916904","wmiprvse.exe","9452","RegQueryKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"2:58:20.5917052","wmiprvse.exe","9452","RegOpenKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS","Desired Access: Set Value"
"2:58:20.5917278","wmiprvse.exe","9452","RegDeleteValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2\134194570999016907","SUCCESS",""
"2:58:20.5920193","wmiprvse.exe","9452","RegCloseKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS",""
"2:58:20.5920347","wmiprvse.exe","9452","RegCloseKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS",""
"2:58:20.5985303","wmiprvse.exe","9452","RegOpenKey","HKLM","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read"
"2:58:20.5985598","wmiprvse.exe","9452","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"2:58:20.5985806","wmiprvse.exe","9452","RegOpenKey","HKLM\Software\Microsoft\WBEM\Tracing\Providers","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read/Write, Delete"
"2:58:20.5986077","wmiprvse.exe","9452","RegCloseKey","HKLM","SUCCESS",""
"2:58:20.5986390","wmiprvse.exe","9452","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\PerfLibEnabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"2:58:20.5986674","wmiprvse.exe","9452","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\PerfLibInterval_ms","SUCCESS","Type: REG_DWORD, Length: 4, Data: 100"
"2:58:20.5986807","wmiprvse.exe","9452","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\IsToCleanupTraces","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"2:58:20.5987043","wmiprvse.exe","9452","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\IsTrackingOperationOnly","NAME NOT FOUND","Length: 16"
"2:58:20.5987255","wmiprvse.exe","9452","RegCloseKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers","SUCCESS",""
"2:58:20.5987435","wmiprvse.exe","9452","RegOpenKey","HKLM","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read"
"2:58:20.5987576","wmiprvse.exe","9452","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"2:58:20.5987689","wmiprvse.exe","9452","RegOpenKey","HKLM\Software\Microsoft\WBEM\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"2:58:20.5987863","wmiprvse.exe","9452","RegCloseKey","HKLM","SUCCESS",""
"2:58:20.5987968","wmiprvse.exe","9452","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2\134194571006051185","NAME NOT FOUND","Length: 12"
"2:58:20.5988148","wmiprvse.exe","9452","RegSetValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2\134194571006051185","SUCCESS","Type: REG_SZ, Length: 180, Data: ExecQueryAsync: select __RELPATH, CommandLine from Win32_Process where ProcessId = 145420"
"2:58:20.5990737","wmiprvse.exe","9452","RegCloseKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS",""
"2:58:21.0605680","wmiprvse.exe","9452","RegOpenKey","HKLM","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read"
"2:58:21.0605932","wmiprvse.exe","9452","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"2:58:21.0606119","wmiprvse.exe","9452","RegOpenKey","HKLM\Software\Microsoft\WBEM\Tracing\Providers","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read/Write, Delete"
"2:58:21.0606332","wmiprvse.exe","9452","RegCloseKey","HKLM","SUCCESS",""
"2:58:21.0606499","wmiprvse.exe","9452","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\PerfLibEnabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"2:58:21.0606679","wmiprvse.exe","9452","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\PerfLibInterval_ms","SUCCESS","Type: REG_DWORD, Length: 4, Data: 100"
"2:58:21.0606818","wmiprvse.exe","9452","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\IsToCleanupTraces","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"2:58:21.0606957","wmiprvse.exe","9452","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\IsTrackingOperationOnly","NAME NOT FOUND","Length: 16"
"2:58:21.0607131","wmiprvse.exe","9452","RegCloseKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers","SUCCESS",""
"2:58:21.0607301","wmiprvse.exe","9452","RegOpenKey","HKLM","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read"
"2:58:21.0607457","wmiprvse.exe","9452","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"2:58:21.0607601","wmiprvse.exe","9452","RegOpenKey","HKLM\Software\Microsoft\WBEM\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"2:58:21.0607784","wmiprvse.exe","9452","RegCloseKey","HKLM","SUCCESS",""
"2:58:21.0607922","wmiprvse.exe","9452","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2\134194571010663344","NAME NOT FOUND","Length: 12"
"2:58:21.0608148","wmiprvse.exe","9452","RegSetValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2\134194571010663344","SUCCESS","Type: REG_SZ, Length: 78, Data: CreateInstanceEnumAsync: Win32_Process"
"2:58:21.0610708","wmiprvse.exe","9452","RegCloseKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS",""
"2:58:21.0937591","wmiprvse.exe","9452","RegOpenKey","HKLM","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read"
"2:58:21.0937831","wmiprvse.exe","9452","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"2:58:21.0938062","wmiprvse.exe","9452","RegOpenKey","HKLM\Software\Microsoft\WBEM\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"2:58:21.0938303","wmiprvse.exe","9452","RegCloseKey","HKLM","SUCCESS",""
"2:58:21.0938497","wmiprvse.exe","9452","RegQueryKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"2:58:21.0938656","wmiprvse.exe","9452","RegOpenKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS","Desired Access: Set Value"
"2:58:21.0938871","wmiprvse.exe","9452","RegDeleteValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2\134194571003243019","SUCCESS",""
"2:58:21.0941385","wmiprvse.exe","9452","RegCloseKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS",""
"2:58:21.0941635","wmiprvse.exe","9452","RegCloseKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS",""
"2:58:21.1206431","wmiprvse.exe","9452","RegOpenKey","HKLM","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read"
"2:58:21.1206628","wmiprvse.exe","9452","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"2:58:21.1206750","wmiprvse.exe","9452","RegOpenKey","HKLM\Software\Microsoft\WBEM\Tracing\Providers","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read/Write, Delete"
"2:58:21.1206911","wmiprvse.exe","9452","RegCloseKey","HKLM","SUCCESS",""
"2:58:21.1207029","wmiprvse.exe","9452","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\PerfLibEnabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"2:58:21.1207141","wmiprvse.exe","9452","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\PerfLibInterval_ms","SUCCESS","Type: REG_DWORD, Length: 4, Data: 100"
"2:58:21.1207235","wmiprvse.exe","9452","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\IsToCleanupTraces","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"2:58:21.1207325","wmiprvse.exe","9452","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\IsTrackingOperationOnly","NAME NOT FOUND","Length: 16"
"2:58:21.1207438","wmiprvse.exe","9452","RegCloseKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers","SUCCESS",""
"2:58:21.1207546","wmiprvse.exe","9452","RegOpenKey","HKLM","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read"
"2:58:21.1207643","wmiprvse.exe","9452","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"2:58:21.1207732","wmiprvse.exe","9452","RegOpenKey","HKLM\Software\Microsoft\WBEM\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"2:58:21.1207860","wmiprvse.exe","9452","RegCloseKey","HKLM","SUCCESS",""
"2:58:21.1207954","wmiprvse.exe","9452","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2\134194571011274558","NAME NOT FOUND","Length: 12"
"2:58:21.1208150","wmiprvse.exe","9452","RegSetValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2\134194571011274558","SUCCESS","Type: REG_SZ, Length: 78, Data: CreateInstanceEnumAsync: Win32_Process"
"2:58:21.1210734","wmiprvse.exe","9452","RegCloseKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS",""
"2:58:21.1306499","wmiprvse.exe","9452","RegOpenKey","HKLM","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read"
"2:58:21.1306800","wmiprvse.exe","9452","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"2:58:21.1306997","wmiprvse.exe","9452","RegOpenKey","HKLM\Software\Microsoft\WBEM\Tracing\Providers","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read/Write, Delete"
"2:58:21.1307268","wmiprvse.exe","9452","RegCloseKey","HKLM","SUCCESS",""
"2:58:21.1307448","wmiprvse.exe","9452","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\PerfLibEnabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"2:58:21.1307638","wmiprvse.exe","9452","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\PerfLibInterval_ms","SUCCESS","Type: REG_DWORD, Length: 4, Data: 100"
"2:58:21.1307787","wmiprvse.exe","9452","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\IsToCleanupTraces","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"2:58:21.1307943","wmiprvse.exe","9452","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\IsTrackingOperationOnly","NAME NOT FOUND","Length: 16"
"2:58:21.1308133","wmiprvse.exe","9452","RegCloseKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers","SUCCESS",""
"2:58:21.1308355","wmiprvse.exe","9452","RegOpenKey","HKLM","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read"
"2:58:21.1308552","wmiprvse.exe","9452","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"2:58:21.1308741","wmiprvse.exe","9452","RegOpenKey","HKLM\Software\Microsoft\WBEM\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"2:58:21.1308964","wmiprvse.exe","9452","RegCloseKey","HKLM","SUCCESS",""
"2:58:21.1309130","wmiprvse.exe","9452","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2\134194571011364913","NAME NOT FOUND","Length: 12"
"2:58:21.1309370","wmiprvse.exe","9452","RegSetValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2\134194571011364913","SUCCESS","Type: REG_SZ, Length: 78, Data: CreateInstanceEnumAsync: Win32_Process"
"2:58:21.1312259","wmiprvse.exe","9452","RegCloseKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS",""
"2:58:21.3096354","wmiprvse.exe","9452","RegOpenKey","HKLM","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read"
"2:58:21.3096682","wmiprvse.exe","9452","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"2:58:21.3096864","wmiprvse.exe","9452","RegOpenKey","HKLM\Software\Microsoft\WBEM\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"2:58:21.3097122","wmiprvse.exe","9452","RegCloseKey","HKLM","SUCCESS",""
"2:58:21.3097265","wmiprvse.exe","9452","RegQueryKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"2:58:21.3097402","wmiprvse.exe","9452","RegOpenKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS","Desired Access: Set Value"
"2:58:21.3097578","wmiprvse.exe","9452","RegDeleteValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2\134194571006051185","SUCCESS",""
"2:58:21.3100162","wmiprvse.exe","9452","RegCloseKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS",""
"2:58:21.3100318","wmiprvse.exe","9452","RegCloseKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS",""
"2:58:21.9680116","wmiprvse.exe","9452","RegOpenKey","HKLM","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read"
"2:58:21.9680393","wmiprvse.exe","9452","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"2:58:21.9680569","wmiprvse.exe","9452","RegOpenKey","HKLM\Software\Microsoft\WBEM\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"2:58:21.9680789","wmiprvse.exe","9452","RegCloseKey","HKLM","SUCCESS",""
"2:58:21.9680961","wmiprvse.exe","9452","RegQueryKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"2:58:21.9681445","wmiprvse.exe","9452","RegOpenKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS","Desired Access: Set Value"
"2:58:21.9681821","wmiprvse.exe","9452","RegDeleteValue","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2\134194571010663344","SUCCESS",""
"2:58:21.9684399","wmiprvse.exe","9452","RegCloseKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS",""
"2:58:21.9684904","wmiprvse.exe","9452","RegCloseKey","HKLM\SOFTWARE\Microsoft\Wbem\Tracing\Providers\CIMWin32 @ root/CIMV2","SUCCESS",""
